client_id,client_name,industry,project_type,project_cost,start_date,payment_status,city,year_month,high_value_project
1,Photography Hub,Photography,E-commerce,22392,2023-01-01,Pending,Pune,2023-01,0
2,Tech Startup,Design,Branding,70680,2023-01-08,Paid,Pune,2023-01,0
3,Fitness Studio,Design,E-commerce,65859,2023-01-15,Pending,Pune,2023-01,0
4,Photography Hub,Technology,Portfolio,140657,2023-01-22,Pending,Pune,2023-01,1
5,Local Cafe,Design,Branding,85467,2023-01-29,Pending,Kolhapur,2023-01,1
6,Coaching Center,Design,Portfolio,113506,2023-02-05,Paid,Bangalore,2023-02,1
7,Fitness Studio,Retail,Branding,124751,2023-02-12,Pending,Pune,2023-02,1
8,Fitness Studio,Technology,Branding,133906,2023-02-19,Paid,Pune,2023-02,1
9,Photography Hub,Retail,Business Website,40342,2023-02-26,Pending,Mumbai,2023-02,0
10,Aishwarya Design,Photography,Portfolio,121308,2023-03-05,Paid,Pune,2023-03,1
11,Local Cafe,Education,E-commerce,121081,2023-03-12,Pending,Mumbai,2023-03,1
12,Photography Hub,Photography,E-commerce,104045,2023-03-19,Paid,Bangalore,2023-03,1
13,Local Cafe,Education,Portfolio,49698,2023-03-26,Paid,Kolhapur,2023-03,0
14,Local Cafe,Retail,E-commerce,125078,2023-04-02,Pending,Kolhapur,2023-04,1
15,Coaching Center,Photography,E-commerce,95623,2023-04-09,Paid,Bangalore,2023-04,1
16,Fitness Studio,Technology,Portfolio,37671,2023-04-16,Paid,Kolhapur,2023-04,0
17,Tech Startup,Media,Branding,108384,2023-04-23,Pending,Bangalore,2023-04,1
18,Coaching Center,Retail,Portfolio,101202,2023-04-30,Paid,Bangalore,2023-04,1
19,Coaching Center,Education,Branding,66663,2023-05-07,Paid,Bangalore,2023-05,0
20,Local Cafe,Fitness,E-commerce,30708,2023-05-14,Paid,Kolhapur,2023-05,0
21,Clothing Brand,Education,E-commerce,106906,2023-05-21,Pending,Mumbai,2023-05,1
22,Fitness Studio,Fitness,E-commerce,64811,2023-05-28,Paid,Bangalore,2023-05,0
23,Aishwarya Design,Design,Business Website,148883,2023-06-04,Pending,Pune,2023-06,1
24,Coaching Center,Photography,Branding,71250,2023-06-11,Paid,Kolhapur,2023-06,0
25,Tech Startup,Fitness,Business Website,127547,2023-06-18,Paid,Bangalore,2023-06,1
26,Clothing Brand,Education,Business Website,139249,2023-06-25,Paid,Bangalore,2023-06,1
27,Clothing Brand,Design,Portfolio,49754,2023-07-02,Pending,Pune,2023-07,0
28,Aishwarya Design,Media,Business Website,148983,2023-07-09,Paid,Mumbai,2023-07,1
29,Coaching Center,Technology,Portfolio,99896,2023-07-16,Paid,Mumbai,2023-07,1
30,Tech Startup,Technology,Portfolio,86295,2023-07-23,Pending,Mumbai,2023-07,1
31,Fitness Studio,Technology,Business Website,115689,2023-07-30,Paid,Bangalore,2023-07,1
32,KOP Studios,Fitness,Branding,26111,2023-08-06,Pending,Bangalore,2023-08,0
